Id Financeiro;Status cliente;Id cliente (CNPJ);Razão Social;Nome Fantasia (Omie);MRR Atual;Data Cohort;Data Movimento;MRR;Movimento MRR;Tipo Movimento;Status contrato;Id contrato (Omie);Documento;Vigência inicial contrato;Vigência final contrato;Meses vigência;Valor contrato;Tipo Renovação;Índice Renovação;Vendedor;Valor original do MRR;Obs. Contrato;Condição pagamento
26314SANK04;Ativo;26314062000161;SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;SANKHYA;Não;09/09/2020;09/09/2023;R$ 3.701,88;R$ 0,00;Expansion;Vencido;SANK04;nd;09/09/2023;11/02/2024;5;R$ 18.509,40;Automática;IGPM;Carlos;;;Mensal
26314SANK05;Ativo;26314062000161;SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;SANKHYA;Não;25/09/2024;25/09/2024;R$ 2.560,00;R$ 0,00;Reativação;Vencido;SANK05;Contrato;25/09/2024;24/12/2025;15;R$ 38.400,00;Automática;IPCA;Carlos;R$ 4.000,00;"90 dias de crédito a contar da assinatura (sendo quinze meses com
três gratuitos) + direito ao perfil de engajamento";À vista
26314SANK06;Ativo;26314062000161;SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;SANKHYA;Sim;25/09/2024;25/12/2025;R$ 3.559,15;R$ 999,15;Expansion;Vigente;SANK06;Aditivo;25/12/2025;24/12/2026;12;R$ 42.709,77;Automática;IPCA;Carlos;R$ 4.187,23;;À vista
13172ITAPXX;Inativo;1317277000105;ITAPOÁ TERMINAIS PORTUÁRIOS S.A;PORTO ITAPOÁ;Não;31/08/2022;17/05/2025;R$ 0,00;-R$ 12.000,00;Churn;Vencido;ITAPXX;;-;-;-;-;-;-;Carlos;-;-;-
60742SANM01;Ativo;60742855000110;ASSOCIACAO SANTA MARCELINA;SANTA MARCELINA EDUCAÇÃO;Não;01/01/2024;01/01/2024;R$ 16.000,00;R$ 16.000,00;New Business;Vencido;SANM01;Contrato;01/01/2024;31/12/2025;24;R$ 384.000,00;Automática;IPCA;Carlos;;;Mensal
60742SANM02;Ativo;60742855000110;ASSOCIACAO SANTA MARCELINA;SANTA MARCELINA EDUCAÇÃO;Sim;01/01/2024;01/01/2026;R$ 17.488,27;R$ 1.488,27;Expansion;Vigente;SANM02;Contrato;01/01/2026;31/12/2027;24;R$ 419.718,48;Automática;IPCA;Carlos;17.488,27;Cliente quis renovar automaticamente sem aditivo.;Mensal
71322SAVE01;Ativo;71322150000160;SAVEGNAGO SUPERMERCADOS LTDA;SAVEGNAGO ;Não;01/10/2024;01/10/2024;R$ 2.400,00;R$ 2.400,00;New Business;Vencido;SAVE01;Contrato;01/10/2024;31/12/2025;15;R$ 28.800,00;Automática;IPCA;Carlos;R$ 3.000,00;"90 dias de crédito de Outubro a Dezembro (sendo quinze meses
com três gratuitos) + direito ao perfil de engajamento";À vista
71322SAVG01;Ativo;71322150000160;SAVEGNAGO SUPERMERCADOS LTDA;SAVEGNAGO ;Sim;01/05/2025;01/05/2025;R$ 7.000,00;R$ 7.000,00;New Business;Vigente;SAVG01;Contrato;01/05/2025;30/04/2026;12;R$ 84.000,00;Automática;IPCA;Carlos;R$ 7.000,00;Superinteligência/Singular;Mensal
71322SAVE02;Ativo;71322150000160;SAVEGNAGO SUPERMERCADOS LTDA;SAVEGNAGO ;Sim;01/10/2024;01/01/2026;R$ 3.140,42;R$ 740,42;Expansion;Vigente;SAVE02;Contrato;01/01/2026;31/12/2026;12;R$ 37.685,09;Automática;IPCA;Carlos;3.140,42;;À vista
75110SBPR01/1;Ativo;75110585000100;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SE;SEBRAE-PR;Não;01/12/2022;01/12/2022;R$ 6.000,00;R$ 6.000,00;New Business;Vencido;SBPR01/1;Contrato;01/12/2022;30/11/2023;12;R$ 72.000,00;Aditivo;IPCA;Carlos;;;À vista
75110SBPR01/2;Ativo;75110585000100;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SE;SEBRAE-PR;Não;01/12/2022;01/12/2022;R$ 6.000,00;R$ 6.000,00;New Business;Vencido;SBPR01/2;Contrato;01/12/2022;30/11/2023;12;R$ 72.000,00;Aditivo;IPCA;Carlos;;;À vista
75110SBPR01/3;Ativo;75110585000100;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SE;SEBRAE-PR;Não;01/12/2022;29/09/2023;R$ 4.235,29;-R$ 1.764,71;Contraction;Vencido;SBPR01/3;Aditivo;29/09/2023;30/04/2024;7;R$ 29.647,03;Aditivo;IPCA;Carlos;;;À vista
75110SBPR02;Ativo;75110585000100;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SE;SEBRAE-PR;Não;01/12/2022;01/05/2024;R$ 7.453,47;R$ 3.218,17;Expansion;Vencido;SBPR02;Aditivo;01/05/2024;30/04/2025;12;R$ 89.441,64;Aditivo;IPCA;Carlos;;;À vista
75110SBPR03;Ativo;75110585000100;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO PARANA - SE;SEBRAE-PR;Sim;01/12/2022;01/05/2025;R$ 7.666,67;R$ 213,20;Expansion;Vigente;SBPR03;Aditivo;01/05/2025;30/04/2030;60;R$ 460.000,00;Aditivo;IPCA;Carlos;;;Anual
25089SBTO01;Ativo;25089962000190;SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DO ESTADO DO TOCANTINS – SEBRAE-TO;SEBRAE-TO;Sim;01/01/2025;01/01/2025;R$ 1.600,00;R$ 1.600,00;New Business;Vigente;SBTO01;Contrato;01/01/2025;31/03/2026;15;R$ 24.000,00;Automática;IPCA;Carlos;;;Mensal
40882SEMP01;Ativo;4088208000165;SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA;SEM PARAR;Não;01/06/2023;01/06/2023;R$ 6.000,00;R$ 6.000,00;New Business;Vencido;SEMP01;Contrato;01/06/2023;30/08/2024;15;R$ 90.000,00;Aditivo;A combinar;Carlos;R$ 6.000,00;;À vista
40882SEMP02;Ativo;4088208000165;SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA;SEM PARAR;Não;01/06/2023;31/08/2024;R$ 6.000,00;R$ 0,00;Expansion;Vencido;SEMP02;Aditivo;31/08/2024;30/11/2025;15;R$ 90.000,00;Aditivo;A combinar;Carlos;R$ 6.286,34;O contrato foi dividido em 4 vezes por conta deles não terem verba para esse ano;Mensal
40882SEMP03;Ativo;4088208000165;SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA;SEM PARAR;Sim;01/06/2023;01/12/2025;R$ 7.692,31;R$ 1.692,31;Expansion;Vigente;SEMP03;Aditivo;01/12/2025;31/12/2026;13;R$ 100.000,00;Aditivo;A combinar;Carlos;R$ 8.041,94;;À vista
