Id Financeiro;Status cliente;Id cliente (CNPJ);Razão Social;Nome Fantasia (Omie);MRR Atual;Data Cohort;Data Movimento;MRR;Movimento MRR;Tipo Movimento;Status contrato;Id contrato (Omie);Documento;Vigência inicial contrato;Vigência final contrato;Meses vigência;Valor contrato;Tipo Renovação;Índice Renovação;Vendedor;Valor original do MRR;Obs. Contrato;Condição pagamento
47080TEAC00;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;-;-;-;Implantação;Vencido;TEAC00;nd;01/07/2019;01/07/2019;0;R$ 6.166,00;-;-;Carlos;-;;Única
47080TEAC01;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2019;R$ 3.700,00;R$ 3.700,00;New Business;Vencido;TEAC01;nd;01/07/2019;30/06/2020;12;R$ 44.400,00;Não definido;Não definido;Carlos;;;Mensal
47080TEAC02;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2020;R$ 3.700,00;R$ 0,00;Expansion;Vencido;TEAC02;nd;01/07/2020;30/06/2021;12;R$ 44.400,00;Não definido;Não definido;Carlos;;;Mensal
47080TEAC03;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2021;R$ 3.700,00;R$ 0,00;Expansion;Vencido;TEAC03;nd;01/07/2021;30/06/2022;12;R$ 44.400,00;Não definido;Não definido;Carlos;;;Mensal
47080TEAC04;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2022;R$ 3.700,00;R$ 0,00;Expansion;Vencido;TEAC04;nd;01/07/2022;30/06/2023;12;R$ 44.400,00;Não definido;Não definido;Carlos;;;Mensal
47080TEAC05;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2023;R$ 3.700,00;R$ 0,00;Expansion;Vencido;TEAC05;nd;01/07/2023;30/06/2024;12;R$ 44.400,00;Não definido;Não definido;Carlos;;;Mensal
47080TEAC06;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Não;01/07/2019;01/07/2024;R$ 3.845,26;R$ 145,26;Expansion;Vencido;TEAC06;;01/07/2024;30/06/2025;12;R$ 46.143,12;Não definido;IPCA;Carlos;;;Mensal
47080TEAC07;Ativo;47080619001199;TEREOS ACUCAR E ENERGIA BRASIL S.A.;TEREOS ACUCAR;Sim;01/07/2019;01/07/2025;R$ 4.074,12;R$ 228,86;Expansion;Vigente;TEAC07;;01/07/2025;30/06/2026;12;R$ 48.889,44;Não definido;IPCA;Carlos;;;Mensal
65882TEAM00;Ativo;65882680000160;TEREOS AMIDO E ADOCANTES BRASIL S.A.;TEREOS AMIDO;Não;02/01/2020;-;-;-;Implantação;Vencido;TEAM00;Contrato;02/01/2020;02/01/2020;0;R$ 2.230,00;-;-;Carlos;-;;Única
65882TEAM01;Ativo;65882680000160;TEREOS AMIDO E ADOCANTES BRASIL S.A.;TEREOS AMIDO;Não;02/01/2020;02/01/2020;R$ 730,00;R$ 730,00;New Business;Vencido;TEAM01;Contrato;02/01/2020;01/01/2021;12;R$ 8.760,00;Automática;IGPM;Carlos;;;Mensal
65882TEAM02;Ativo;65882680000160;TEREOS AMIDO E ADOCANTES BRASIL S.A.;TEREOS AMIDO;Não;02/01/2020;02/01/2021;R$ 943,83;R$ 213,83;Expansion;Vencido;TEAM02;nd;02/01/2021;01/01/2022;12;R$ 8.494,47;Automática;IGPM;Carlos;;;Mensal
